4K频道,#genre#
CCTV4K,http://159.75.85.63:5679/cctv4k.php
CCTV4K,http://lu1.cc/itv/php/cctv4k.php?id=4kfhd
CCTV4K,http://moss.hk3.345888.xyz.cdn.cloudflare.net/11/bestv.php?id=cctv4k/15000000
CCTV4K,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/bestv.php?id=cctv4k/15000000
CCTV4K,http://xiaozeng.hk3.345888.xyz.cdn.cloudflare.net/ww/cqyx.php?id=CCTV4K
CCTV16 4K,http://live.cooltv.top/tv/aishang.php?id=cctv164k
CCTV16 4K,http://116.11.158.203:8181/tsfile/live/1014_1.m3u8
CCTV16 4K,http://moss.hk3.345888.xyz.cdn.cloudflare.net/11/bestv.php?id=cctv16hd4k/15000000
苏州4K,http://liveshowbak2.kan0512.com/ksznorecord/csztv4k_4k.m3u8
斗鱼4K电影,http://159.75.85.63:35455/douyu/9249162
虎牙魔兽世界4K,http://159.75.85.63:35455/huya/shangdi


广东电信4K,

BesTV-4K,http://183.65.9.200:8888/udp/235.254.199.164:7980
BesTV-4K,http://125.82.171.210:8888/udp/235.254.199.164:7980
BesTV-4K,http://106.86.9.97:8888/udp/235.254.199.164:7980
欢笑剧场,http://183.65.9.200:8888/udp/235.254.196.150:7980
欢笑剧场,http://125.82.171.210:8888/udp/235.254.196.150:7980
欢笑剧场,http://106.86.9.97:8888/udp/235.254.196.150:7980
爱上4K,http://183.65.9.200:8888/udp/235.254.199.102:7980
爱上4K,http://125.82.171.210:8888/udp/235.254.199.102:7980
爱上4K,http://106.86.9.97:8888/udp/235.254.199.102:7980
广东综艺4K,http://14.19.128.184:4022/udp/239.77.1.236:5146
广东综艺4K,http://14.19.128.184:4022/udp/239.77.1.237:5146
广东综艺4k,http://14.19.128.184:4022/udp/239.77.0.244:5146
广东综艺4k,http://14.19.128.184:4022/udp/239.77.0.245:5146
广东综艺4K,http://14.19.128.184:4022/udp/239.77.0.246:5146
南国都市 4K,http://14.19.128.184:4022/udp/239.253.43.99:5146
CCTV16 4K,http://14.19.128.184:4022/udp/239.77.1.98:5146
北京纪实科教8K,http://159.75.85.63:6798

CHC高清电影,http://14.19.128.184:4022/udp/239.77.0.27:5146
CHC家庭影院,http://183.65.9.200:8888/udp/235.254.199.246:7980
CHC动作电影,http://183.65.9.200:8888/udp/235.254.199.247:7980
CHC高清电影,http://183.65.9.200:8888/udp/235.254.199.248:7980
CHC家庭影院,http://125.82.171.210:8888/udp/235.254.199.246:7980
CHC动作电影,http://125.82.171.210:8888/udp/235.254.199.247:7980
CHC高清电影,http://125.82.171.210:8888/udp/235.254.199.248:7980


移动,#genre#
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8
CCTV-1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV-1,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000021973&livemode=1&stbId=3
CCTV-1,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000018602&livemode=1&stbId=3
CCTV-2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV-2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226224/index.m3u8
CCTV-2,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000012442&livemode=1&stbId=3
CCTV-2,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV-3,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000011218&livemode=1&stbId=3
CCTV-3,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000013682&livemode=1&stbId=3
CCTV-4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV-4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226223/index.m3u8
CCTV-4,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000002000031664&livemode=1&stbId=3
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV-5,http://gslbserv.itv.cmvideo.cn/index.m3u8?channel-id=ystenlive&Contentid=1000000001000004794&livemode=1&stbId=3
CCTV-5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8
