4k,#genre#

4K1,http://159.75.85.63:5679/cctv4k.php#http://suixiaobin.dsmynas.net:5666/gudou.php?phone=freeuser&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=1332&id=4005


4K2,http://106.39.160.148/live.aishang.ctlcdn.com/00000110240389_1/encoder/0/playlist.m3u8?CONTENTID=00000110240389_1#http://suixiaobin.dsmynas.net:5666/gudou.php?phone=freeuser&ptoken=8S6lHDnZOXb8fZ91xEBYwg%3D%3D&pserialnumber=004bfc8f56cd2797&cid=1332&id=4010


中国央卫,#genre#


1,http://lovegfs.top:8000/udp/239.120.1.120:8778
1,http://lovegfs.top:8000/udp/239.120.1.52:8350
1,http://lovegfs.top:8000/udp/239.120.1.119:8260
1,http://lovegfs.top:8000/udp/239.120.1.184:9160
1,http://lovegfs.top:8000/udp/239.120.2.42:5141
1,http://lovegfs.top:8000/udp/239.120.2.145:5141
2,http://lovegfs.top:8000/udp/239.120.1.223:9484
3,http://lovegfs.top:8000/udp/239.120.1.88:9420
4,http://lovegfs.top:8000/udp/239.120.1.159:9012
5+,http://lovegfs.top:8000/udp/239.120.1.245:9428
5+,http://lovegfs.top:8000/udp/239.120.2.59:5141
5,http://lovegfs.top:8000/udp/239.120.1.46:8248
5,http://lovegfs.top:8000/udp/239.120.2.34:5141
6,http://lovegfs.top:8000/udp/239.120.1.49:8252
6,http://lovegfs.top:8000/udp/239.120.2.38:5141
7,http://lovegfs.top:8000/udp/239.120.1.224:9490
7,http://lovegfs.top:8000/udp/239.120.2.39:5141
8,http://lovegfs.top:8000/udp/239.120.1.50:8308
8,http://lovegfs.top:8000/udp/239.120.2.40:5141
9,http://lovegfs.top:8000/udp/239.120.1.227:9496
9,http://lovegfs.top:8000/udp/239.120.2.91:5141
10,http://lovegfs.top:8000/udp/239.120.1.250:9448
10,http://lovegfs.top:8000/udp/239.120.2.92:5141
11,http://lovegfs.top:8000/udp/239.120.1.163:9036
11,http://lovegfs.top:8000/udp/239.120.2.100:5141
12,http://lovegfs.top:8000/udp/239.120.1.230:9502
12,http://lovegfs.top:8000/udp/239.120.2.101:5141
13,http://lovegfs.top:8000/udp/239.120.1.165:9048
13,http://lovegfs.top:8000/udp/239.120.2.102:5141
14,http://lovegfs.top:8000/udp/239.120.1.193:8284
14,http://lovegfs.top:8000/udp/239.120.2.103:5141
15,http://lovegfs.top:8000/udp/239.120.2.104:5141
16,http://lovegfs.top:8000/udp/239.120.1.252:9554
16,http://lovegfs.top:8000/udp/239.120.2.105:5141
17,http://lovegfs.top:8000/udp/239.120.1.68:8370
17,http://lovegfs.top:8000/udp/239.120.2.106:5141
C1,http://lovegfs.top:8000/udp/239.120.2.54:5141
C1,http://lovegfs.top:8000/udp/239.120.2.67:5141

安多,http://lovegfs.top:8000/udp/239.120.1.40:8214
安多,http://lovegfs.top:8000/udp/239.120.2.6:5141
安多,http://lovegfs.top:8000/udp/239.120.2.163:5141
安徽,http://lovegfs.top:8000/udp/239.120.1.226:9348
安徽,http://lovegfs.top:8000/udp/239.120.2.187:5141
北京,http://lovegfs.top:8000/udp/239.120.1.122:8790
北京,http://lovegfs.top:8000/udp/239.120.2.186:5141
第一财经,http://lovegfs.top:8000/udp/239.120.1.73:8412
东方财经,http://lovegfs.top:8000/udp/239.120.1.55:8304
东方财经,http://lovegfs.top:8000/udp/239.120.2.73:5141
东方财经,http://lovegfs.top:8000/udp/239.120.2.77:5141
东方,http://lovegfs.top:8000/udp/239.120.1.121:8784
东方,http://lovegfs.top:8000/udp/239.120.2.184:5141
东南,http://lovegfs.top:8000/udp/239.120.1.232:9372
东南,http://lovegfs.top:8000/udp/239.120.2.195:5141
甘肃,http://lovegfs.top:8000/udp/239.120.1.118:8700
甘肃,http://lovegfs.top:8000/udp/239.120.2.16:5141
广东,http://lovegfs.top:8000/udp/239.120.1.126:8814
广东,http://lovegfs.top:8000/udp/239.120.2.181:5141
广西,http://lovegfs.top:8000/udp/239.120.1.155:8988
广西,http://lovegfs.top:8000/udp/239.120.2.5:5141
重庆,http://lovegfs.top:8000/udp/239.120.1.146:8934
重庆,http://lovegfs.top:8000/udp/239.120.2.185:5141
贵州,http://lovegfs.top:8000/udp/239.120.1.142:8910
贵州,http://lovegfs.top:8000/udp/239.120.2.18:5141
河北,http://lovegfs.top:8000/udp/239.120.1.212:9300
河北,http://lovegfs.top:8000/udp/239.120.2.12:5141
河南,http://lovegfs.top:8000/udp/239.120.1.148:8946
河南,http://lovegfs.top:8000/udp/239.120.2.180:5141
黑龙江,http://lovegfs.top:8000/udp/239.120.1.124:8802
黑龙江,http://lovegfs.top:8000/udp/239.120.2.183:5141
湖北,http://lovegfs.top:8000/udp/239.120.1.129:8832
湖北,http://lovegfs.top:8000/udp/239.120.2.15:5141
湖北,http://lovegfs.top:8000/udp/239.120.2.182:5141
湖南,http://lovegfs.top:8000/udp/239.120.1.127:8820
湖南,http://lovegfs.top:8000/udp/239.120.2.173:5141
吉林,http://lovegfs.top:8000/udp/239.120.1.151:8964
吉林,http://lovegfs.top:8000/udp/239.120.2.26:5141
江苏,http://lovegfs.top:8000/udp/239.120.1.125:8808
江苏,http://lovegfs.top:8000/udp/239.120.2.221:5141
江西,http://lovegfs.top:8000/udp/239.120.1.228:9356
江西,http://lovegfs.top:8000/udp/239.120.2.194:5141
辽宁,http://lovegfs.top:8000/udp/239.120.1.229:9360
辽宁,http://lovegfs.top:8000/udp/239.120.2.189:5141
青海,http://lovegfs.top:8000/udp/239.120.1.64:8332
青海,http://lovegfs.top:8000/udp/239.120.1.113:8346
青海,http://lovegfs.top:8000/udp/239.120.2.7:5141
青海,http://lovegfs.top:8000/udp/239.120.2.154:5141
青海,http://lovegfs.top:8000/udp/239.120.2.188:5141
山东,http://lovegfs.top:8000/udp/239.120.1.211:9294
山东,http://lovegfs.top:8000/udp/239.120.2.219:5141
深圳,http://lovegfs.top:8000/udp/239.120.1.137:8880
深圳,http://lovegfs.top:8000/udp/239.120.2.197:5141
四川,http://lovegfs.top:8000/udp/239.120.1.147:8940
四川,http://lovegfs.top:8000/udp/239.120.2.2:5141
天津,http://lovegfs.top:8000/udp/239.120.1.233:9514
天津,http://lovegfs.top:8000/udp/239.120.2.196:5141
浙江,http://lovegfs.top:8000/udp/239.120.1.128:8826
