4K频道,#genre#
纯享4K,http://39.135.138.58:18890/PLTV/88888888/224/3221225786/index.m3u8#http://39.135.138.58:18890/ysten-businessmobile/live/HD-20M-2160P-chunxiang4k/1.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225786/index.m3u8
欢笑剧场4k,http://111.20.33.93/PLTV/88888893/224/3221226582/index.m3u8
爱上4K,http://111.20.33.93/PLTV/88888893/224/3221226352/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226352/index.m3u8#http://111.20.33.93/TVOD/88888893/224/3221226352/index.m3u8
苏州4k,http://liveshowbak2.kan0512.com/ksz-norecord/csztv4k_4k.m3u8
欢笑剧场,http://111.20.33.70/PLTV/88888893/224/3221226582/index.m3u8
CCTV16,http://219.128.40.115:8888/rtp/239.77.1.98:5146
央视,#genre#
CHC高清电影,http://111.20.33.93/TVOD/88888893/224/3221226463/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226463/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226463/index.m3u8
CHC动作电影,http://111.20.33.93/TVOD/88888893/224/3221226465/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226465/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226465/index.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240324_1/playlist.m3u8?CONTENTID=00000110240324_1
CHC家庭影院,http://111.20.33.93/TVOD/88888893/224/3221226462/index.m3u8#http://111.20.33.93/PLTV/88888893/224/3221226462/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226462/index.m3u8#http://59.49.41.44/live.aishang.ctlcdn.com/00000110240323_1/playlist.m3u8?CONTENTID=00000110240323_1
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225642/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8#http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225918/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240127_1/playlist.m3u8?CONTENTID=00000110240127_1#http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000210103.m3u8#http://39.135.138.58:18890/PLTV/88888888/224/3221225918/index.m3u8#http://219.128.40.115:8888/rtp/239.77.0.86:5146
CCTV2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8#http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8#http://39.134.115.163:8080/PLTV/88888910/224/3221225619/index.m3u8#http://111.20.33.70/PLTV/88888893/224/3221226224/index.m3u8#http://59.49.41.41/live.aishang.ctlcdn.com/00000110240244_1/playlist.m3u8?CONTENTID=00000110240244_1#http://111.32.169.223/bkhlsliveali-cdn.ysp.cctv.cn/ysp/2000203603.m3u8#http://wtv.weetai.cn/iptv/2022/tyzb01.php?id=cctv2hd#http://219.128.40.115:8888/rtp/239.77.0.137:5146
